t=2026-03-04T22:50:48+0000 lvl=info msg="no configuration paths supplied"
t=2026-03-04T22:50:48+0000 lvl=info msg="using configuration at default config path" path="/Users/joe/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-04T22:50:48+0000 lvl=info msg="open config file" path="/Users/joe/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=0f11c3cf152e l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=8a81f3418739 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=d406a67b79ae l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:28+0000 lvl=info msg="join connections" obj=join id=9d6da4bbad4d l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:58+0000 lvl=info msg="join connections" obj=join id=1642339386c2 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=4def48605f53 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=662add877b3a l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=0da38a62b490 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=3003a6d75507 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=5112c08cbd38 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=0287450c2ff2 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:14+0000 lvl=info msg="join connections" obj=join id=ca640cb0eb53 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T23:00:28+0000 lvl=info msg="join connections" obj=join id=6ba056edd31a l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
